Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Unnamed: 12,nutrition_risk
Amaretti Cookie (2 cookies),Dessert,90,2.078893148,12.08802668,4.04124137,0.954497284,10.34279757,10.17674253,0,Snack,0,,Healthy
Creamed Spinach (1/2 cup),Vegetable,190,5.092486775,7.901693557,15.64420416,3.092042827,2.026811425,454.9805201,49.84643566,Dinner,0,,Moderate
Hummus (2 tbsp),Legume,70,1.960697521,3.90775323,5.107021795,1.970269974,0,123.6665064,0,Snack,0,,Healthy
Kimchi Jjigae (1 bowl),Meal/Soup,350,15.11164525,20.14310876,22.58718126,4.933294201,6.241042189,1159.431001,28.85839414,Dinner,500,,Moderate
Mashed Potatoes (1 cup),Vegetable,230,4.156951678,36.40004027,7.766549145,3.005342979,1.907483156,333.9280146,15.6600131,Dinner,0,,Healthy
Tomato Soup (1 can),Meal/Vegetable,170,3.923117835,25.81421371,5.79718114,4.147751333,15.47129183,909.7916662,10.46335728,Lunch,0,,Moderate
Cheese Whiz (2 tbsp),Condiment/Processed,90,4.050753097,3.143746648,7.195360022,0,1.906893125,530.7477411,20.35728234,Lunch,0,,Moderate
Quinoa (1 cup cooked),Grain,222,8.010952256,39.78845169,3.742450511,5.031349029,0.968248047,12.64189523,0,Dinner,0,,Healthy
Beef Steak (6oz sirloin),Protein/Meat,270,42.34877826,0,10.39777333,0,0,88.12842061,119.0686314,Dinner,250,,Healthy
Corn (1 cup),Vegetable,132,4.872657752,29.92924895,1.815525441,3.653407831,8.688201047,1.961682393,0,Dinner,0,,Healthy
Beef Tacos (2 hard shell),Meal/Meat,380,18.6388104,27.32819712,21.68490701,5.209975185,3.053871109,571.8142041,50.52934968,Dinner,500,,Moderate
Oat Milk (1 cup),Beverage/Dairy-Alt,120,2.86838301,15.60783325,5.023734578,2.050306234,6.919997724,101.775803,0,Breakfast,0,,Healthy
Gazpacho (1 cup),Meal/Soup,90,2.024256305,12.35373077,4.140027484,3.120866666,6.660092367,599.3399045,0,Lunch,240,,Moderate
Chicken Liver (2 oz cooked),Protein/Meat,91,13.33946984,0.596971965,3.775562107,0,0,49.57222136,305.1753312,Dinner,0,,Healthy
Blue Cheese Dressing (2 tbsp),Condiment,150,0.967830626,2.04098319,16.38920081,0,1.045560812,313.7941207,10.42848566,Lunch,0,,Moderate
Tartar Sauce (2 tbsp),Condiment,60,0.205611007,2.07268187,5.434867955,0.103617858,1.425296855,188.9034248,4.812369145,Dinner,0,,Healthy
Lemon Juice (1 tbsp dressing),Condiment,4,0.100118884,1.362038619,0,0.096398323,0.198715105,0,0,Lunch,0,,Healthy
Rye Bread (1 slice),Grain,83,2.745485155,14.95190174,1.13090178,1.808807033,1.152511272,169.9518809,0,Lunch,0,,Healthy
Tilapia (4oz baked),Protein/Fish,110,22.40319645,0,2.416965993,0,0,50.69513006,52.21970732,Dinner,0,,Healthy
Provolone Cheese (1 slice),Dairy,100,6.695120337,1.04268494,7.654850151,0,0.519248825,242.803198,20.81251406,Snack,0,,Healthy
Maple Syrup (2 tbsp),Condiment,104,0,27.92453321,0,0,24.7393243,1.92227635,0,Breakfast,0,,Moderate
Spring Roll (Veg 2 rolls),Snack/Processed,180,3.884488024,26.052419,7.078496315,2.86168395,2.917246516,465.7740696,0,Dinner,0,,Moderate
Oat Milk (1 cup),Beverage/Dairy-Alt,120,3.04740491,16.44987705,5.174664119,1.939183638,6.755308983,96.13495892,0,Breakfast,0,,Healthy
Gochujang (1 tbsp),Condiment,30,0.517217502,5.760969452,0,0.502853854,3.999432601,191.7864293,0,Dinner,0,,Healthy
Peanut Butter & Jelly Sandwich,Meal/Processed,390,12.45388822,47.79460832,16.69163492,5.198991419,19.70736593,443.5910876,0,Lunch,250,,Unhealthy
Croutons (Garlic 1/4 cup),Grain,50,1.494291751,7.33828561,1.972935473,0.506711241,0.497754591,138.9305707,0,Lunch,0,,Healthy
Maple Syrup (2 tbsp),Condiment,104,0,27.26937362,0,0,23.94503552,1.93639226,0,Breakfast,0,,Moderate
Mashed Potatoes (1 cup),Vegetable,230,3.957637874,36.20720753,7.847883911,2.925521473,2.066764628,342.4521209,14.9240569,Dinner,0,,Healthy
Chicken Noodle Soup (1 can),Meal/Processed,150,7.085870694,17.41321491,5.141837332,1.962653101,1.984333817,894.5691418,14.25991002,Lunch,250,,Moderate
Crab Cakes (2 medium),Meal/Seafood,340,20.46072207,18.24692232,20.04067807,1.006256474,2.071911457,707.0575534,119.8265276,Dinner,250,,Moderate
Olives (Kalamata 5 large),Fruit,35,0.205882905,1.030829011,3.664246524,0.509200362,0,210.9081139,0,Lunch,0,,Healthy
Lentil Soup (1 cup Middle Eastern),Meal/Legume,200,9.794655487,29.23181738,5.22357132,9.923156076,4.122333779,723.2861693,0,Lunch,250,,Healthy
Cream Cheese (2 tbsp),Dairy,100,1.968907683,2.004669152,9.79054628,0,1.049041326,90.95464525,30.70433613,Breakfast,0,,Healthy
Espresso (double shot),Beverage,5,0.487369194,0,0.103959578,0,0,1.026075079,0,Breakfast,60,,Healthy
Raisins (1/4 cup),Fruit,130,1.300084684,32.71036543,0.204891838,1.615257687,23.92068335,4.811369409,0,Snack,0,,Moderate
Clam Chowder (1 cup),Meal/Seafood,200,9.797576534,18.15201423,9.322334464,1.000807717,1.939175972,900.8409364,31.28630189,Lunch,0,,Moderate
Milk (2%, 1 cup),110,120.1878934,7.663896644,12.38814984,5.032683198,0,11.84980836,102.3646915,20,Breakfast,0,Healthy
Gochugaru (1 tsp),Condiment,10,0.287790467,1.794994542,0.302408716,0.50512989,0.296019248,1.019953952,0,Dinner,0,,Healthy
Crab Cakes (2 medium),Meal/Seafood,340,20.80099717,18.47838448,20.91971881,1.025642361,2.015939293,711.0048019,121.2499067,Dinner,250,,Moderate
Orange Peel (garnish),Condiment,1,0,0.199278535,0,0.100285637,0,0,0,Snack,0,,Healthy
Pani Puri (6 pcs),Snack/Processed,200,4.05755912,33.89055956,5.077413011,2.933197967,1.93775268,406.3235408,0,Snack,0,,Moderate
Eggo Waffle (2 waffles),Grain/Processed,180,4.177588996,29.09768789,4.90941556,0.980286086,4.040031681,412.929641,0,Breakfast,0,,Moderate
Pork Belly (1 oz in soup),Protein/Meat,145,3.071815584,0,14.3812965,0,0,154.3459016,20.71776001,Dinner,0,,Healthy
Salsa (1/4 cup),Vegetable,20,0.806434676,4.301992105,0.099134331,1.007549183,3.085222525,241.1352977,0,Lunch,0,,Healthy
Pork Bun (1 steamed),Meal/Processed,220,7.880095213,29.03202119,7.92345843,2.031487885,6.149678517,388.4189283,20.02171383,Lunch,0,,Healthy
Ground Beef (2 oz in sauce),Protein/Meat,140,10.83404634,0,9.928859325,0,0,41.2439951,33.83685199,Dinner,0,,Healthy
Pita Bread (1 white),Grain,165,5.584771962,33.87192051,1.223756105,1.468312923,1.436524197,297.1855008,0,Snack,0,,Healthy
Edamame (in pod 1 cup),Legume,120,11.24081401,8.838044999,5.14988006,4.90979444,2.029800148,8.764342278,0,Snack,250,,Healthy
Swiss Cheese (1 slice),Dairy,106,7.514504398,1.035987861,8.357185379,0,0.41471543,54.43528721,25.2170054,Lunch,0,,Healthy
Pate (Mushroom 2 tbsp),Condiment,70,1.037216309,1.979628031,7.2719746,0.961109005,0.984477128,100.5839986,0,Dinner,0,,Healthy
Dates (2 medium Medjool),Fruit,133,0.837084223,35.09440124,0.103102487,3.097365053,32.84134876,0.982315199,0,Snack,0,,Moderate
Lobster Bisque (1 cup),Meal/Seafood,250,7.942728875,12.33473282,18.81377866,0.994114638,2.962858041,888.092714,49.12718669,Lunch,250,,Moderate
Olive Oil (1 tbsp drizzle),Condiment,120,0,0,13.79293108,0,0,0,0,Dinner,0,,Healthy
String Cheese (1 stick),Dairy,80,5.8348473,0.997612887,6.285093349,0,0,213.4123183,20.01328054,Snack,0,,Healthy
Raspberries (1 cup),Fruit,64,1.559684122,14.39087529,0.796280818,8.036281783,5.171918269,0.964779241,0,Snack,0,,Healthy
Fish Sauce (1 tsp),Condiment,5,0.381312723,0.503522536,0,0,0.401863433,443.6703359,0,Dinner,0,,Moderate
Maple Syrup (2 tbsp),Condiment,104,0,25.95489385,0,0,24.20053413,1.92052511,0,Breakfast,0,,Moderate
Maple Syrup (1 tbsp),Condiment,52,0,12.93802402,0,0,12.16001235,1.033497981,0,Breakfast,0,,Moderate
Bell Peppers & Onions (sautéed),Vegetable,60,1.462524103,10.46822625,2.015417403,3.13280681,6.261493102,30.76542017,0,Dinner,0,,Healthy
Egg Noodles (1 cup cooked),Grain,220,7.972476076,41.95839338,3.011728864,1.930666444,2.016671935,20.99651247,48.20505843,Dinner,0,,Healthy
Peanut Sauce (2 tbsp),Condiment,80,1.990055648,3.917590123,5.972270891,0.954257452,3.143830243,261.6135412,0,Dinner,0,,Healthy
White Wine Sauce (1/4 cup),Condiment,80,0.987029719,3.917166197,5.747726009,0.520646638,1.958580791,303.0610741,4.773192862,Dinner,0,,Healthy
Ketchup (1 packet),Condiment,10,0.104352194,2.38821567,0,0.102769802,2.031194785,88.44012118,0,Breakfast,0,,Healthy
Prosciutto (1 slice wrapper),Protein/Meat,35,4.052755947,0,2.501622018,0,0,280.8908112,9.941776246,Dinner,0,,Healthy
Coriander (1 tsp),Condiment,5,0.099437816,0.996656907,0.201085832,0.517761043,0,0.959462104,0,Lunch,0,,Healthy
Hoisin Sauce (1 tbsp),Condiment,35,0.287253793,8.036250012,0.191843959,0.099006998,5.051381174,214.4019684,0,Dinner,0,,Healthy
Cod (4oz baked),Protein/Fish,95,19.59311336,0,0.783033788,0,0,98.6086332,53.89814861,Dinner,250,,Healthy
Trofie Pasta (1 cup cooked),Grain,210,6.722760005,42.97137611,0.950376052,2.061073352,1.02700308,5.057063642,0,Dinner,0,,Healthy
Tomato (1 medium sliced),Vegetable,22,1.093177015,4.676988042,0.200211143,1.515575181,3.241232413,6.127397615,0,Lunch,0,,Healthy
Green Beans (1/2 cup w/ pasta),Vegetable,15,0.862869075,3.503855045,0.097757291,1.281173206,1.56237683,3.105875766,0,Dinner,0,,Healthy
Red Cabbage (1 cup raw),Vegetable,22,1.079294325,5.229624462,0.097038243,1.554410069,2.858494268,7.89268514,0,Dinner,0,,Healthy
Bacon (2 slices cooked),Protein/Meat,86,6.262678693,0.198193536,6.800432011,0,0.097186728,328.4768284,17.18604592,Breakfast,0,,Healthy
Polenta (grilled 1 slice),Meal/Grain,120,2.497697094,25.34512479,0.973283239,2.010020135,0.504285238,290.4489359,0,Dinner,0,,Healthy
Caesar Salad (with chicken),Meal/Protein,470,30.7705961,14.91915086,29.81707651,2.89497153,2.980890841,909.6739488,71.69419884,Lunch,250,,Unhealthy
Lemon Juice (1 tsp in soup),Condiment,1,0,0.41671995,0,0,0.104687566,0,0,Lunch,0,,Healthy
Spinach Artichoke Dip (1/4 cup),Snack/Processed,160,5.011427721,6.037571423,14.59383543,2.089649529,2.030844593,350.629239,28.65817702,Snack,0,,Healthy
Sweet Potato (1 medium baked),Vegetable,103,2.370627275,23.25283274,0.207567282,3.726792095,7.521393134,41.3379433,0,Dinner,0,,Healthy
Cinnamon Sugar (1 tsp),Condiment,20,0,4.906349218,0,0,5.236978249,0,0,Snack,0,,Healthy
Pickle (1 whole dill),Vegetable,17,0.804426098,3.657367004,0.198954391,1.503028635,1.681774296,1201.985412,0,Snack,0,,Moderate
Salmon (4oz grilled),Protein/Fish,230,25.71079493,0,14.38912966,0,0,58.2127346,62.97114553,Dinner,250,,Healthy
Bok Choy (1 cup steamed),Vegetable,10,1.430708666,2.061476553,0.100870156,0.95114321,1.007749916,38.99303982,0,Dinner,0,,Healthy
Olive Oil (1 tbsp on bread),Condiment,120,0,0,13.36108572,0,0,0,0,Breakfast,0,,Healthy
Ground Beef (2 oz in sauce),Protein/Meat,140,10.91084512,0,9.547405681,0,0,39.91684468,36.19904131,Dinner,0,,Healthy
Lemon Wedge (for calamari),Condiment,3,0.095900865,1.044919308,0,0.286618549,0.199617722,0,0,Dinner,0,,Healthy
Silken Tofu (3oz in soup),Protein/Vegetarian,45,4.812027639,2.028410883,2.394031039,0.491565206,1.018791622,4.87289313,0,Dinner,0,,Healthy
Rice Krispies (1.5 cups),Grain,160,3.123413493,36.9405852,0.492112681,0.490370962,4.107372494,289.5176311,0,Breakfast,0,,Healthy
Biryani (Chicken 1.5 cups),Meal/Meat,520,29.26029216,61.55650555,17.56115653,4.761843619,6.183028332,884.4830977,75.04137519,Dinner,0,,Moderate
Chimichurri (1 tbsp),Condiment,45,0.103259888,0.497755726,4.523966999,0.204006294,0.100942401,98.56055519,0,Dinner,0,,Healthy
Balsamic Glaze (1 tsp),Condiment,13,0,3.086881496,0,0,2.790360499,3.051936537,0,Snack,0,,Healthy
Gummy Bears (10 pcs),Snack/Dessert,100,1.997348756,21.44500668,0,0,15.39030113,9.848545663,0,Snack,0,,Moderate
Beef Burrito (large),Meal/Processed,650,29.95509494,70.03229422,28.35925524,10.40985478,5.113167812,1400.375413,73.4912675,Dinner,500,,Moderate
Olive Oil (1 tbsp drizzle),Condiment,120,0,0,13.76167589,0,0,0,0,Lunch,0,,Healthy
Smoothie (Fruit & Yogurt),Beverage/Meal,280,11.60080029,55.49422148,2.874073634,6.853180056,41.46265775,67.10146416,5.003112085,Breakfast,250,,Healthy
Ribollita (1.5 cups soup),Meal/Soup,350,15.58540872,56.27085287,7.644843692,14.48075584,10.30659236,861.0255298,5.098833436,Dinner,500,,Healthy
Malva Pudding (1 slice),Dessert,380,4.77982962,60.38421229,13.72543946,1.992743102,41.66965485,360.1447422,62.76769562,Snack,0,,Moderate
Melted Butter (for lobster),Condiment,200,0.209547291,0,22.6785622,0,0,164.1573105,59.30729879,Dinner,0,,Moderate
Pita Bread (White 1 large),Grain,220,7.263397601,43.39665376,2.077839732,1.933897629,1.931969116,451.3465073,0,Dinner,0,,Moderate
Negroni (1 drink),Beverage,190,0,14.87328122,0,0,14.82477131,4.820383707,0,Snack,90,,Moderate
Lemon Wedge (for calamari),Condiment,3,0.102267917,1.007407336,0,0.293675074,0.195174737,0,0,Dinner,0,,Healthy
Collard Greens (1 cup cooked),Vegetable,60,5.000896811,10.39714227,1.022698071,6.734058793,1.043483432,38.66820046,0,Dinner,0,,Healthy
Oyster (1 medium raw),Protein/Seafood,8,0.977599327,0.510294018,0.206067466,0,0,47.96432336,9.61497246,Dinner,0,,Healthy
Provoleta (1 oz grilled cheese),Dairy,100,6.704934752,0.970302801,8.222465055,0,0.501693385,253.3524613,20.12407464,Dinner,0,,Healthy
Jelly (1 tbsp grape),Condiment,50,0,13.11415763,0,0.095163025,12.48778318,5.192736131,0,Breakfast,0,,Moderate
Tomato Soup (1 can),Meal/Vegetable,170,3.817605646,24.93418749,6.16959119,3.889951802,14.88420791,925.4354072,10.39183957,Lunch,0,,Moderate
Olive Oil (1 tbsp dressing),Condiment,120,0,0,14.58251258,0,0,0,0,Lunch,0,,Healthy
Tuna (Canned 3oz in water),Protein/Fish,90,20.94938675,0,1.012700001,0,0,250.1371542,34.64801883,Lunch,0,,Healthy
Mashed Cauliflower (1 cup),Vegetable,140,4.996330655,12.27755059,7.622003618,5.156729686,3.873132641,386.7603623,25.31681743,Dinner,0,,Healthy
Bulgur (1/4 cup in tabouli),Grain,76,2.601720381,16.12890579,0.195217498,4.244459776,0.099978464,4.109887242,0,Lunch,0,,Healthy
Baguette (slice),Grain,70,2.583252131,13.67336801,0.47535016,0.585584546,0.477408481,143.0149875,0,Lunch,0,,Healthy
Limoncello (1.5 oz shot),Beverage,150,0,18.3238691,0,0,17.51858633,0,0,Snack,0,,Moderate
Apple Pie (1 slice),Dessert,410,3.103422584,58.63649305,18.72318796,3.118571591,25.02573648,325.997434,0,Snack,0,,Unhealthy
Fiorentina Steak (3oz portion),Protein/Meat,230,24.07387969,0,14.70002987,0,0,61.3489901,75.50564346,Dinner,0,,Healthy
Tiramisu (1 slice),Dessert,450,7.127967744,41.87201146,26.84373134,1.941583771,24.67967821,153.894404,187.4114845,Snack,250,,Unhealthy
Ginger Ale (1 can),Beverage,124,0,31.62543208,0,0,29.46011286,38.42761445,0,Snack,355,,Moderate
Choripan (1 sandwich),Meal/Processed,550,19.32330593,40.77315885,34.73045361,3.042166946,4.011450511,1079.341707,83.74101449,Lunch,250,,Unhealthy
Sriracha (1 tsp),Condiment,5,0.101243675,1.032153805,0.099586817,0.09695693,0.816255,77.86066105,0,Dinner,0,,Healthy
Cheese Danish,Dessert,340,7.032113164,37.84785368,18.35510724,1.932999823,15.98841971,310.5783757,55.22896327,Breakfast,250,,Moderate
Clam Chowder (1 cup),Meal/Seafood,200,9.544797323,18.19542305,9.053176977,0.998586124,2.073565996,888.0804135,30.48638907,Lunch,0,,Moderate
Tuna (Canned 3oz in water),Protein/Fish,90,19.9622534,0,1.00242067,0,0,239.0176328,34.67010989,Lunch,0,,Healthy
Pisco Sour (1 drink),Beverage,250,0.959420015,24.32516363,0,0,23.81855901,4.855675825,5.219466962,Snack,180,,Moderate
Prosecco (3 oz),Beverage,70,0,1.924427152,0,0,1.455923834,5.048788001,0,Snack,0,,Healthy
Brie Cheese (1 oz),Dairy,95,6.041685406,0.099228881,7.57937402,0,0.097353293,169.424902,28.18071125,Snack,0,,Healthy
Cheesecake (1 slice),Dessert,320,5.041830349,27.17684623,21.41935961,0.953293532,20.37804938,287.6025969,65.99681794,Snack,250,,Moderate
Collard Greens (with ham hock),Vegetable,180,10.24028312,15.49624611,9.288730023,8.357146733,2.919033419,602.644363,30.93439786,Dinner,0,,Healthy
Sumac (1/2 tsp dressing),Condiment,5,0.098192367,1.047249314,0.196010386,0.481887917,0,0.998572986,0,Lunch,0,,Healthy
Gochujang (1 tbsp),Condiment,30,0.479993739,5.812189763,0,0.500684487,3.903779271,209.8653128,0,Dinner,0,,Healthy
Pasta Salad (1 cup),Meal/Pasta,280,8.331987462,28.90051405,14.32447786,3.95034391,5.24145609,454.1885145,10.08507763,Lunch,0,,Moderate
Mate (1 cup),Beverage,5,0.204651789,0.990129582,0,0,0,1.967458743,0,Breakfast,240,,Healthy
Red Cabbage (1 cup raw),Vegetable,22,1.083394006,5.4249897,0.100648854,1.524484698,2.845051495,8.233083364,0,Dinner,0,,Healthy
Turkey Chili (1 cup),Meal/Meat,250,23.07813237,24.22508611,6.813212203,8.014264661,6.067926359,785.766483,51.36308449,Dinner,250,,Healthy
Guanciale (1 oz),Protein/Meat,170,2.972375306,0,17.10283848,0,0,443.1810869,35.39446211,Dinner,0,,Moderate
Oat Milk (1 cup),Beverage/Dairy-Alt,120,2.850347526,16.42241414,4.815305913,2.088725692,6.778934794,97.60882781,0,Breakfast,0,,Healthy
Egg Yolk (1 large in sauce),Protein,55,2.717867104,0.604270249,4.451055814,0,0.289845094,8.189783009,190.2200655,Dinner,0,,Healthy
Shish Tawook (2 skewers),Meal/Meat,300,36.57564714,5.163014892,16.20492846,0.973130942,1.997678596,606.8869941,100.127488,Dinner,0,,Moderate
Edamame (in pod 1 cup),Legume,120,10.51473155,9.315705853,5.187953405,4.938301256,1.902779716,8.550295529,0,Snack,250,,Healthy
Empanada (Beef 1 medium),Meal/Processed,290,10.03611693,27.1049511,15.69672957,2.883179543,2.927430122,529.1605426,30.84136115,Lunch,0,,Moderate
Spinach Artichoke Dip (1/4 cup),Snack/Processed,160,4.967742892,6.117621687,13.54079119,2.017584162,1.945012753,341.0568253,29.30715649,Snack,0,,Healthy
Guanciale (1 oz),Protein/Meat,170,2.973107961,0,17.75676141,0,0,429.7416112,36.21607742,Dinner,0,,Moderate
Chicken Breast (4oz roasted),Protein/Meat,185,36.09514196,0,4.181960939,0,0,80.14477304,96.93567003,Lunch,500,,Healthy
Churros (2 sticks),Dessert,240,2.998697698,29.16421177,11.72144329,1.571347429,10.23987556,200.2131753,19.85627275,Snack,0,,Healthy
Croutons (1/4 cup),Grain,50,1.496496859,6.856438249,1.916797723,0.509495849,0.519797776,133.3352503,0,Lunch,0,,Healthy
Pork Floss (1 tbsp),Protein/Meat,50,3.856059318,3.127224769,1.909178472,0,2.5350827,145.5120082,9.993397353,Breakfast,0,,Healthy
Biscuits and Gravy (1 serving),Meal/Processed,480,10.46030643,47.19532834,26.64776708,2.021765029,2.88488838,1104.114436,35.10873,Breakfast,250,,Unhealthy
Chai Latte (12 oz),Beverage,190,6.763850696,33.01672839,4.032126162,0.980005671,30.78504356,102.6845893,14.90790818,Snack,355,,Moderate
Club Soda (2 oz),Beverage,0,0,0,0,0,0,19.24767578,0,Snack,0,,Healthy
Manicotti (2 shells cheese),Meal/Pasta,380,19.51850445,34.14719037,17.52770458,4.007494213,6.903289557,642.445108,62.73265315,Dinner,0,,Moderate
Labneh (2 tbsp),Dairy,60,4.12972944,1.964818199,4.192713402,0,1.974010853,78.56427661,14.48355406,Breakfast,0,,Healthy
Cabbage Slaw (side),Vegetable,60,1.014294445,8.287686435,3.106998876,2.04158897,5.113279448,120.9767133,5.085498254,Dinner,0,,Healthy
Stale Bread (1/2 cup in soup),Grain,80,3.143647728,15.05156695,1.032526098,0.966504841,1.554709227,163.4125312,0,Dinner,0,,Healthy
Margarita (1 drink, 4oz),110,203.8226202,0.103983111,20.48025989,0,0.099373283,19.85126092,4.97300783,0,Snack,123.6778485,Moderate
Turkey Bacon (2 slices),Protein/Meat,70,5.704939326,0.95552868,5.132181725,0,0.492026093,355.4239649,29.30592881,Breakfast,0,,Healthy
Chimichurri (1 tbsp),Condiment,45,0.102024354,0.477297661,4.58034246,0.203816503,0.103539329,97.20850224,0,Lunch,0,,Healthy
Soy Sauce (1 tbsp for dipping),Condiment,9,1.046642476,0.986996076,0,0.102018004,0.395705747,949.0803561,0,Lunch,0,,Moderate
Crushed Tomatoes (1/2 cup sauce),Vegetable,20,1.032546884,4.17521738,0,1.501934574,3.0358184,194.9103146,0,Dinner,0,,Healthy
Nutritional Yeast (1 tbsp),Condiment,20,3.026525903,2.00056471,0,0.968394366,0,9.901604552,0,Breakfast,0,,Healthy
Limoncello (1.5 oz shot),Beverage,150,0,18.41049661,0,0,17.49005155,0,0,Snack,0,,Moderate
Pistachios (1 oz shelled),Nut,159,5.464936052,7.361318362,12.41479107,3.053038219,2.299397989,1.936825835,0,Snack,0,,Healthy
Ice Cream (1/2 cup vanilla),Dairy/Dessert,145,2.507179507,17.32084111,7.296623897,0.490805566,16.22349517,55.74231179,29.19558808,Snack,0,,Moderate
Spinach Artichoke Dip (1/4 cup),Snack/Processed,160,5.0224961,6.074521408,14.10336382,1.915974491,1.96832469,358.5977202,28.52380332,Snack,0,,Healthy
Hoisin Sauce (1 tbsp),Condiment,35,0.307326784,8.236585399,0.19128681,0.102832729,5.148498854,209.1190303,0,Dinner,0,,Healthy
Parmigiano-Reggiano (1 tbsp),Dairy,22,1.904479481,0.195080816,1.442867193,0,0,93.7028229,4.163170951,Dinner,0,,Healthy
Orange Peel (garnish),Condiment,1,0,0.19788159,0,0.099805831,0,0,0,Snack,0,,Healthy
Club Sandwich,Meal/Processed,580,36.27589923,41.4995657,28.83721699,5.150472591,6.950526483,1260.030127,96.60093222,Lunch,500,,Moderate
French Fries (medium),Vegetable/Processed,340,3.989635633,43.21535919,17.41602913,4.175976555,0.295195498,222.2958217,0,Dinner,0,,Healthy
Aji Amarillo Paste (1 tsp),Condiment,5,0.100255889,1.00332443,0,0.51650196,0.488823723,52.2228322,0,Dinner,0,,Healthy
Shish Tawook (2 skewers),Meal/Meat,300,34.45004922,5.061185532,15.62338928,0.961236764,2.030199071,571.0301834,101.7760093,Dinner,0,,Moderate
Cannellini Beans (1/2 cup in soup),Legume,105,6.803889564,19.73848459,0.490803413,5.762943701,1.02243231,238.5581716,0,Dinner,0,,Healthy
Brie Cheese (1 oz),Dairy,95,5.702356463,0.10171475,8.286953433,0,0.102986941,177.5329081,27.09843652,Snack,0,,Healthy
Cobb Salad,Meal/Protein,510,30.89926008,12.41841612,39.00616475,6.719293253,5.812584808,776.7174618,216.5631755,Lunch,500,,Moderate
Caesar Salad (with chicken),Meal/Protein,470,30.70064236,15.59647793,31.24859275,2.90266634,3.134751684,892.0782336,74.76090327,Lunch,250,,Unhealthy
Hummus (2 tbsp),Legume,70,2.063186992,3.903159011,4.852955456,1.993403471,0,132.8941424,0,Snack,0,,Healthy
Cottage Cheese (1 cup low fat),Dairy,160,26.6964045,6.210630655,2.571525766,0,4.02572512,792.7529846,9.559172561,Lunch,250,,Moderate
Sauerkraut (1/4 cup side),Vegetable,7,0.297693317,1.549963135,0,1.009229129,0.590609165,242.9583231,0,Lunch,0,,Healthy
Cannoli (1 medium),Dessert,240,5.128903327,24.75608695,13.26460264,0.990425873,18.53670116,97.88955694,30.23414452,Snack,0,,Moderate
Garlic Bread (1 slice),Grain,150,3.993225112,17.69131989,7.165852398,1.026766564,0.998343713,299.4473929,0,Dinner,0,,Healthy
Onion Rings (6 rings),Snack/Processed,280,4.084193302,30.97501024,16.30407961,2.936473423,4.147926131,522.2317461,0,Snack,0,,Moderate
Congee (1 cup plain),Meal/Grain,130,2.513051992,28.90560582,1.006510177,0.953519068,0.498139798,308.883533,0,Breakfast,0,,Healthy
White Wine (5 oz glass),Beverage,121,0.099205638,3.974420252,0,0,1.4401595,5.087626008,0,Dinner,0,,Healthy
Canadian Bacon (2 slices),Protein/Meat,80,11.83249287,1.025885987,3.012479726,0,0.996031782,666.053146,41.58046263,Breakfast,0,,Moderate
Orange Sauce (1/4 cup for duck),Condiment,90,0.479874997,23.06543109,0,0.504665362,19.21299564,204.5319448,0,Dinner,0,,Moderate
Sesame Oil (1 tsp),Condiment,40,0,0,4.62612568,0,0,0,0,Dinner,0,,Healthy
Garlic (1/2 clove in pesto),Vegetable,2,0.104220374,0.494918159,0,0,0,0,0,Dinner,0,,Healthy
Garlic Bread (1 slice),Grain,150,3.914053633,17.72770542,7.261070336,0.964407749,0.975383741,309.8007536,0,Dinner,0,,Healthy
Spicy Mustard (1 tbsp),Condiment,10,0.477845456,1.013976151,0.495500609,0.484440916,0,115.5892807,0,Lunch,0,,Healthy
Arancini (1 large ball),Snack/Processed,250,8.688440891,29.60848243,9.866486841,2.953254706,3.045905057,498.5134067,29.26254342,Snack,0,,Moderate
Peanut Butter (2 tbsp),Nut,190,6.727613366,7.686059857,16.43103051,1.933982477,2.923341275,136.7259344,0,Snack,0,,Moderate
Pine Nuts (1 tbsp in pesto),Nut,95,1.934071529,1.984584111,9.964233302,0.502068127,0.504469298,0,0,Dinner,0,,Healthy
Cereal (Frosted Flakes 1 cup),Grain/Processed,130,1.915205436,29.4809,0,0.971621179,11.46030005,181.6648263,0,Breakfast,0,,Healthy
Pancakes (2 medium),Grain,180,4.931086811,30.62229637,4.953192401,1.002162068,6.202639469,463.9369824,25.84798996,Breakfast,0,,Moderate
Simple Syrup (1/2 oz),Condiment,30,0,8.141855427,0,0,8.378203469,0,0,Snack,0,,Healthy
Vegetable Broth (1 cup),Beverage,15,0.97308458,2.955415655,0,1.016693347,2.015393275,563.5515468,0,Dinner,240,,Moderate
Cannellini Beans (1/2 cup in soup),Legume,105,6.687257043,19.90178667,0.476253732,5.864455087,0.994157133,223.0702444,0,Dinner,0,,Healthy
Avocado Toast (1 slice),Meal/Vegetarian,260,6.916292916,27.27663403,15.08402001,10.29270203,0.978583325,351.7740007,0,Breakfast,500,,Healthy
Chocolate Croissant,Dessert,350,5.972053005,40.16358184,18.29505999,3.106079588,15.30007773,285.8438683,38.7967189,Breakfast,250,,Moderate
Pancetta (0.5 oz in sauce),Protein/Meat,45,1.426181813,0,4.415949649,0,0,166.4409908,10.01257634,Dinner,0,,Healthy
